Designator,Footprint,Quantity,Value,LCSC Part #
TP19,Solderable Point,1,G,
TP6,Solderable Point,1,G,
TP5,Solderable Point,1,G,
D3,LED_0402_1005Metric,1,LED,
C39,C_0201_0603Metric,1,100n,
TP4,Solderable Point,1,DJI_RX,
TP8,Solderable Point,1,G,
TP12,Solderable Point,1,3.3V,
TP11,Solderable Point,1,3.3V,
TP10,Solderable Point,1,G,
C46,C_0201_0603Metric,1,100n,
FB1,R_0603_1608Metric,1,120R,
R14,R_0402_1005Metric,1,550R,
H3,MountingHole_2.2mm_M2_Pad_Via,1,MountingHole,
R6,R_0201_0603Metric,1,4K7,
U8,LQFP-64_10x10mm_P0.5mm,1,STM32F722RET6,
TP20,Solderable Point,1,G,
C44,C_0402_1005Metric,1,1u,
TP21,Solderable Point,1,G,
C41,C_0201_0603Metric,1,100n,
C17,C_0805_2012Metric,1,10u,
R18,R_0402_1005Metric,1,10K,
H4,MountingHole_2.2mm_M2_Pad_Via,1,MountingHole,
C38,C_0402_1005Metric,1,1u,
R29,R_0402_1005Metric,1,550R,
L1,MDE0530-6R8M,1,"3u2, IDC 5.4A",
C16,C_0805_2012Metric,1,10u,
C28,C_0603_1608Metric,1,1n8,
C19,C_0805_2012Metric,1,10u,
H1,MountingHole_2.2mm_M2_Pad_Via,1,MountingHole,
C32,C_1210_3225Metric,1,47u,
R27,R_0603_1608Metric,1,330R,
C45,C_0201_0603Metric,1,100n,
TP18,Solderable Point,1,G,
TP13,Solderable Point,1,5V,
R16,R_0402_1005Metric,1,31K,
R15,R_0402_1005Metric,1,31K,
C34,C_0402_1005Metric,1,10p,
D4,LED_0402_1005Metric,1,LED,
R11,R_0201_0603Metric,1,27R,
C12,C_0201_0603Metric,1,100n,
R7,R_0201_0603Metric,1,4K7,
C35,C_0402_1005Metric,1,10p,
TP16,Solderable Point,1,9V,
C13,C_0201_0603Metric,1,100n,
C42,C_0201_0603Metric,1,100n,
J10,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04,
TP2,Solderable Point,1,DJI_TX,
R12,R_0201_0603Metric,1,27R,
J9,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,1,TC2030-IDC-NL,
TP3,Solderable Point,1,GRX,
C30,C_1210_3225Metric,1,47u,
D5,LED_0402_1005Metric,1,LED,
L2,MDE0530-6R8M,1,"2u7, IDC 4A",
H2,MountingHole_2.2mm_M2_Pad_Via,1,MountingHole,
C23,C_0402_1005Metric,1,100n,
TP1,Solderable Point,1,GTX,
C24,C_0402_1005Metric,1,100n,
R13,R_0402_1005Metric,1,550R,
C47,C_0603_1608Metric,1,2u2,
C36,C_0603_1608Metric,1,4u7,
C33,C_1210_3225Metric,1,47u,
C40,C_0201_0603Metric,1,100n,
U7,TPS54335ADRCR,1,TPS54335ADRCR,
C37,C_0402_1005Metric,1,10u,
R23,R_0402_1005Metric,1,0R,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8Mhz,
U6,TPS54335ADRCR,1,TPS54335ADRCR,
TP15,Solderable Point,1,9V,
C21,C_0402_1005Metric,1,100n,
C20,C_0402_1005Metric,1,100n,
C26,C_0201_0603Metric,1,91p,
C18,C_0805_2012Metric,1,10u,
U3,BMP388,1,BMP388,
J12,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,Conn_01x06,
C10,C_0201_0603Metric,1,10n,
C22,C_0805_2012Metric,1,22u,
C1,C_0201_0603Metric,1,10p,
J5,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,1,FC-ESC,
C2,C_0201_0603Metric,1,10p,
R20,R_0402_1005Metric,1,9K7,
R1,R_0201_0603Metric,1,75R,
R5,R_0201_0603Metric,1,0R,
C27,C_0603_1608Metric,1,1n8,
C8,C_0201_0603Metric,1,22u,
J8,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,Conn_01x06,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,27MHz,
R25,R_0201_0603Metric,1,1K,
C15,C_0805_2012Metric,1,10u,
Q1,SOT-23,1,DMG3415,
C3,C_0201_0603Metric,1,100n,
R19,R_0402_1005Metric,1,100K,
U4,SON127P600X800X80-9N,1,W25Q256JVEIQ,
J2,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Conn_01x03,
C43,C_0402_1005Metric,1,0.1u,
R3,R_0201_0603Metric,1,75R,
C6,C_0201_0603Metric,1,100n,
R2,R_0201_0603Metric,1,10K,
C5,C_0201_0603Metric,1,22u,
C25,C_0201_0603Metric,1,91p,
R10,R_0201_0603Metric,1,5K1,
SW1,SSSS810701,1,SW_SPDT,
J1,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Conn_01x03,
C4,C_0402_1005Metric,1,0.1u,
U5,SOT-223-3_TabPin2,1,AZ1117-ADJ,
J6,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04,
C9,C_0201_0603Metric,1,100n,
J3,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Conn_01x03,
R22,R_0201_0603Metric,1,19K1,
D1,D_SOD-123,1,RB088LAM-40TFR,
R9,R_0201_0603Metric,1,5K1,
R26,R_0402_1005Metric,1,10K,
C7,C_0603_1608Metric,1,2u2,
R17,R_0402_1005Metric,1,10K,
C29,C_1210_3225Metric,1,47u,
C14,C_0402_1005Metric,1,100n,
C11,C_0201_0603Metric,1,100n,
R24,R_0201_0603Metric,1,10K,
C31,C_1210_3225Metric,1,47u,
J4,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Conn_01x03,
J11,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04,
R8,R_0201_0603Metric,1,10K,
D2,SOT-143,1,PRTR5V0U2X,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,NRST,
U2,SOP65P637X110-28N,1,AT7456E,
R21,R_0201_0603Metric,1,100K,
J7,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,DJI Air Unit,
P1,USB4110GFA,1,USB_C_Plug_USB2.0,
R4,R_0201_0603Metric,1,0R,
R28,R_0201_0603Metric,1,100K,
U1,ICP-42688-P,1,ICM-42688-P,
